SN,Freq,Level,Time,Freq Offset,Level Offset
1,9 kHz,-110.0 dBm,500.0 ms,0.0 Hz,0.0 dB
912,1.91 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
657,1.655 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
909,1.907 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
447,1.445 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
253,1.251 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
726,1.724 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
811,1.809 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
154,1.152 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
835,1.833 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
162,1.16 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
10,1.008 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
458,1.456 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
546,1.544 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
603,1.601 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
452,1.45 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
595,1.593 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
302,1.3 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
278,1.276 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
301,1.299 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
588,1.586 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
48,1.046 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
650,1.648 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
150,1.148 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
121,1.119 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
272,1.27 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
628,1.626 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
379,1.377 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
99,1.097 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
914,1.912 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
74,1.072 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
142,1.14 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
907,1.905 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
756,1.754 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
380,1.378 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
386,1.384 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
356,1.354 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
130,1.128 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
