SN,Freq,Level,Time,Freq Offset,Level Offset
260,1.258 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
144,1.142 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
760,1.758 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
146,1.144 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
692,1.69 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
398,1.396 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
322,1.32 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
614,1.612 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
378,1.376 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
515,1.513 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
853,1.851 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
904,1.902 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
26,1.024 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
495,1.493 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
891,1.889 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
342,1.34 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
513,1.511 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
611,1.609 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
337,1.335 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
427,1.425 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
311,1.309 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
992,1.99 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
961,1.959 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
113,1.111 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
597,1.595 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
771,1.769 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
295,1.293 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
54,1.052 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
629,1.627 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
75,1.073 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
289,1.287 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
285,1.283 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
852,1.85 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
102,1.1 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
461,1.459 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
540,1.538 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
646,1.644 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
783,1.781 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
604,1.602 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
249,1.247 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
357,1.355 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
769,1.767 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
212,1.21 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
623,1.621 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
382,1.38 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
506,1.504 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
381,1.379 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
393,1.391 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
109,1.107 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
716,1.714 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
710,1.708 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
568,1.566 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
739,1.737 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
655,1.653 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
994,1.992 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
509,1.507 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
444,1.442 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
397,1.395 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
346,1.344 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
810,1.808 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
192,1.19 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
362,1.36 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
983,1.981 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
217,1.215 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
166,1.164 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
742,1.74 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
881,1.879 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
226,1.224 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
518,1.516 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
606,1.604 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
734,1.732 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
500,1.498 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
270,1.268 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
313,1.311 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
976,1.974 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
964,1.962 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
350,1.348 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
988,1.986 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
127,1.125 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
95,1.093 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
616,1.614 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
846,1.844 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
263,1.261 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
236,1.234 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
638,1.636 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
390,1.388 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
41,1.039 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
194,1.192 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
107,1.105 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
563,1.561 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
527,1.525 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
709,1.707 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
969,1.967 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
831,1.829 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
698,1.696 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
747,1.745 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
538,1.536 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
317,1.315 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
780,1.778 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
485,1.483 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
85,1.083 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
686,1.684 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
126,1.124 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
254,1.252 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
383,1.381 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
188,1.186 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
335,1.333 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
745,1.743 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
276,1.274 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
208,1.206 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
575,1.573 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
252,1.25 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
741,1.739 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
453,1.451 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
9,1.007 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
713,1.711 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
982,1.98 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
21,1.019 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
62,1.06 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
951,1.949 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
257,1.255 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
183,1.181 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
175,1.173 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
893,1.891 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
245,1.243 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
286,1.284 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
251,1.249 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
431,1.429 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
627,1.625 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
345,1.343 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
732,1.73 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
700,1.698 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
866,1.864 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
43,1.041 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
759,1.757 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
887,1.885 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
915,1.913 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
807,1.805 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
209,1.207 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
110,1.108 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
823,1.821 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
516,1.514 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
169,1.167 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
916,1.914 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
696,1.694 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
482,1.48 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
88,1.086 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
36,1.034 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
76,1.074 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
960,1.958 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
155,1.153 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
493,1.491 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
718,1.716 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
680,1.678 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
605,1.603 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
925,1.923 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
800,1.798 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
364,1.362 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
936,1.934 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
283,1.281 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
83,1.081 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
932,1.93 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
173,1.171 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
456,1.454 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
722,1.72 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
417,1.415 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
962,1.96 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
758,1.756 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
850,1.848 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
56,1.054 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
751,1.749 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
145,1.143 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
414,1.412 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
703,1.701 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
636,1.634 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
474,1.472 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
399,1.397 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
177,1.175 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
665,1.663 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
867,1.865 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
46,1.044 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
798,1.796 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
956,1.954 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
288,1.286 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
777,1.775 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
90,1.088 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
539,1.537 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
354,1.352 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
586,1.584 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
388,1.386 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
441,1.439 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
139,1.137 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
885,1.883 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
834,1.832 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
187,1.185 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
870,1.868 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
874,1.872 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
995,1.993 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
635,1.633 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
526,1.524 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
325,1.323 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
796,1.794 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
116,1.114 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
862,1.86 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
23,1.021 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
868,1.866 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
838,1.836 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
579,1.577 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
498,1.496 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
942,1.94 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
522,1.52 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
667,1.665 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
666,1.664 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
409,1.407 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
599,1.597 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
333,1.331 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
905,1.903 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
594,1.592 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
543,1.541 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
944,1.942 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
678,1.676 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
923,1.921 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
32,1.03 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
954,1.952 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
135,1.133 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
70,1.068 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
512,1.51 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
598,1.596 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
297,1.295 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
774,1.772 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
463,1.461 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
20,1.018 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
648,1.646 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
933,1.931 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
185,1.183 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
525,1.523 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
641,1.639 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
193,1.191 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
931,1.929 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
255,1.253 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
408,1.406 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
476,1.474 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
267,1.265 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
374,1.372 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
44,1.042 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
204,1.202 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
305,1.303 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
727,1.725 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
53,1.051 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
772,1.77 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
878,1.876 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
580,1.578 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
601,1.599 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
743,1.741 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
737,1.735 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
167,1.165 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
674,1.672 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
555,1.553 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
449,1.447 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
202,1.2 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
18,1.016 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
972,1.97 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
416,1.414 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
630,1.628 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
160,1.158 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
837,1.835 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
405,1.403 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
793,1.791 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
999,1.997 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
349,1.347 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
211,1.209 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
230,1.228 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
899,1.897 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
797,1.795 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
812,1.81 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
537,1.535 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
12,1.01 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
86,1.084 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
981,1.979 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
689,1.687 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
784,1.782 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
134,1.132 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
224,1.222 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
670,1.668 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
488,1.486 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
4,1.002 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
147,1.145 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
455,1.453 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
15,1.013 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
294,1.292 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
359,1.357 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
782,1.78 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
104,1.102 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
78,1.076 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
8,1.006 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
159,1.157 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
948,1.946 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
702,1.7 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
339,1.337 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
196,1.194 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
622,1.62 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
697,1.695 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
561,1.559 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
752,1.75 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
819,1.817 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
584,1.582 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
429,1.427 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
841,1.839 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
27,1.025 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
331,1.329 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
711,1.709 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
536,1.534 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
613,1.611 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
69,1.067 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
39,1.037 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
472,1.47 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
608,1.606 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
910,1.908 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
296,1.294 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
