,SN,Freq,Level,Time,Freq Offset,Level Offset
195,196,1.194 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
621,622,1.62 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
696,697,1.695 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
560,561,1.559 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
751,752,1.75 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
818,819,1.817 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
583,584,1.582 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
428,429,1.427 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
840,841,1.839 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
26,27,1.025 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
330,331,1.329 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
710,711,1.709 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
535,536,1.534 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
612,613,1.611 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
68,69,1.067 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
38,39,1.037 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
471,472,1.47 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
607,608,1.606 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
909,910,1.908 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
295,296,1.294 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
979,980,1.978 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
249,250,1.248 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
51,52,1.05 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
365,366,1.364 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
140,141,1.139 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
12,13,1.011 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
704,705,1.703 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
236,237,1.235 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
309,310,1.308 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
720,721,1.719 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
778,779,1.777 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
352,353,1.351 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
292,293,1.291 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
331,332,1.33 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
807,808,1.806 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
217,218,1.216 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
907,908,1.906 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
658,659,1.657 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
954,955,1.953 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
682,683,1.681 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
419,420,1.418 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
463,464,1.462 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
765,766,1.764 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
130,131,1.129 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
855,856,1.854 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
823,824,1.822 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
34,35,1.033 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
479,480,1.478 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
76,77,1.075 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
814,815,1.813 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
306,307,1.305 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
549,550,1.548 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
912,913,1.911 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
957,958,1.956 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
785,786,1.784 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
148,149,1.147 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
711,712,1.71 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
92,93,1.091 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
684,685,1.683 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
581,582,1.58 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
694,695,1.693 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
951,952,1.95 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
798,799,1.797 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
923,924,1.922 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
588,589,1.587 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
970,971,1.969 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
483,484,1.482 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
445,446,1.444 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
743,744,1.742 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
491,492,1.49 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
553,554,1.552 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
488,489,1.487 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
177,178,1.176 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
342,343,1.341 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
569,570,1.568 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
805,806,1.804 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
648,649,1.647 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
843,844,1.842 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
504,505,1.503 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
964,965,1.963 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
976,977,1.975 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
183,184,1.182 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
670,671,1.669 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
586,587,1.585 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
80,81,1.079 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
124,125,1.123 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
117,118,1.116 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
23,24,1.022 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
520,521,1.519 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
900,901,1.899 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
64,65,1.063 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
110,111,1.109 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
650,651,1.649 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
936,937,1.935 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
619,620,1.618 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
703,704,1.702 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
411,412,1.41 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
617,618,1.616 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
156,157,1.155 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
633,634,1.632 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
391,392,1.39 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
625,626,1.624 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
270,271,1.269 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
754,755,1.753 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
819,820,1.818 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
218,219,1.217 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
689,690,1.688 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
190,191,1.189 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
573,574,1.572 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
72,73,1.071 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
582,583,1.581 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
399,400,1.398 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
828,829,1.827 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
240,241,1.239 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
59,60,1.058 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
639,640,1.638 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
966,967,1.965 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
81,82,1.08 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
921,922,1.92 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
401,402,1.4 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
317,318,1.316 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
732,733,1.731 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
929,930,1.928 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
885,886,1.884 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
646,647,1.645 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
747,748,1.746 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
533,534,1.532 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
983,984,1.982 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
224,225,1.223 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
756,757,1.755 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
434,435,1.433 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
777,778,1.776 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
891,892,1.89 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
185,186,1.184 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
437,438,1.436 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
95,96,1.094 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
199,200,1.198 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
313,314,1.312 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
860,861,1.859 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
421,422,1.42 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
65,66,1.064 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
897,898,1.896 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
135,136,1.134 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
63,64,1.062 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
470,471,1.469 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
910,911,1.909 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
283,284,1.282 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
24,25,1.023 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
878,879,1.877 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
788,789,1.787 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
21,22,1.02 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
228,229,1.227 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
18,19,1.017 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
561,562,1.56 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
179,180,1.178 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
787,788,1.786 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
632,633,1.631 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
821,822,1.82 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
990,991,1.989 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
157,158,1.156 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
863,864,1.862 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
974,975,1.973 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
420,421,1.419 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
848,849,1.847 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
772,773,1.771 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
858,859,1.857 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
531,532,1.53 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
4,5,1.003 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
580,581,1.579 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
329,330,1.328 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
390,391,1.389 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
231,232,1.23 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
279,280,1.278 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
456,457,1.455 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
1001,1002,2.0 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
938,939,1.937 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
563,564,1.562 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
881,882,1.88 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
459,460,1.458 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
760,761,1.759 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
668,669,1.667 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
280,281,1.279 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
119,120,1.118 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
642,643,1.641 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
1000,1001,1.999 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
752,753,1.751 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
876,877,1.875 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
683,684,1.682 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
636,637,1.635 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
896,897,1.895 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
10,11,1.009 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
590,591,1.589 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
671,672,1.67 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
944,945,1.943 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
472,473,1.471 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
169,170,1.168 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
862,863,1.861 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
962,963,1.961 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
181,182,1.18 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
299,300,1.298 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
937,938,1.936 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
978,979,1.977 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
173,174,1.172 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
226,227,1.225 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
662,663,1.661 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
793,794,1.792 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
544,545,1.543 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
54,55,1.053 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
298,299,1.297 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
965,966,1.964 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
510,511,1.509 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
289,290,1.288 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
466,467,1.465 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
789,790,1.788 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
188,189,1.187 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
268,269,1.267 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
601,602,1.6 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
57,58,1.056 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
410,411,1.409 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
618,619,1.617 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
839,840,1.838 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
438,439,1.437 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
395,396,1.394 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
940,941,1.939 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
558,559,1.557 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
311,312,1.31 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
946,947,1.945 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
327,328,1.326 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
972,973,1.971 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
949,950,1.948 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
705,706,1.704 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
113,114,1.112 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
882,883,1.881 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
272,273,1.271 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
91,92,1.09 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
570,571,1.569 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
631,632,1.63 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
369,370,1.368 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
219,220,1.218 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
825,826,1.824 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
118,119,1.117 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
498,499,1.497 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
557,558,1.556 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
450,451,1.449 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
546,547,1.545 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
234,235,1.233 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
489,490,1.488 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
78,79,1.077 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
730,731,1.729 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
417,418,1.416 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
518,519,1.517 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
572,573,1.571 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
402,403,1.401 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
973,974,1.972 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
2,3,1.001 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
745,746,1.744 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
105,106,1.104 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
152,153,1.151 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
388,389,1.387 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
680,681,1.679 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
660,661,1.659 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
502,503,1.501 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
6,7,1.005 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
933,934,1.932 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
988,989,1.987 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
465,466,1.464 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
920,921,1.919 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
333,334,1.332 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
606,607,1.605 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
393,394,1.392 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
325,326,1.324 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
803,804,1.802 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
273,274,1.272 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
917,918,1.916 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
719,720,1.718 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
774,775,1.773 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
875,876,1.874 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
220,221,1.219 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
305,306,1.304 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
967,968,1.966 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
237,238,1.236 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
541,542,1.54 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
163,164,1.162 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
230,231,1.229 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
734,735,1.733 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
13,14,1.012 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
847,848,1.846 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
461,462,1.46 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
829,830,1.828 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
247,248,1.246 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
856,857,1.855 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
841,842,1.84 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
48,49,1.047 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
872,873,1.871 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
485,486,1.484 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
206,207,1.205 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
383,384,1.382 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
653,654,1.652 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
432,433,1.431 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
820,821,1.819 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
609,610,1.608 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
474,475,1.473 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
716,717,1.715 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
405,406,1.404 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
501,502,1.5 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
449,450,1.448 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
50,51,1.049 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
589,590,1.588 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
763,764,1.762 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
318,319,1.317 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
620,621,1.619 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
212,213,1.211 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
674,675,1.673 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
826,827,1.825 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
659,660,1.658 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
651,652,1.65 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
767,768,1.766 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
899,900,1.898 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
939,940,1.938 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
997,998,1.996 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
528,529,1.527 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
482,483,1.481 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
171,172,1.17 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
644,645,1.643 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
801,802,1.8 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
500,501,1.499 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
655,656,1.654 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
548,549,1.547 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
264,265,1.263 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
838,839,1.837 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
147,148,1.146 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
127,128,1.126 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
480,481,1.479 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
246,247,1.245 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
905,906,1.904 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
887,888,1.886 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
137,138,1.136 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
813,814,1.812 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
406,407,1.405 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
66,67,1.065 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
